HYPERPARAMETERS
================
batch_size = 16
block_size = 128
training_steps = 2000
eval_interval = 500
learning_rate = 1e-05
eval_iters = 20
n_embd = 256
n_head = 4
n_layer = 4
dropout = 0.2
max_new_tokens = 300
device = mps
tokenization_method = character
test_mode = False
use_lora = False
model_type = gpt2
training_data_source = sources/training_data_combined.md
gpt2_model_name = gpt2
resume_step = 2000
resume_steps = 3000
total_steps = 5000

OUTPUT
======

============================================================
🚀 RESUMING TRAINING
============================================================
Starting from step 2000
Training for 3000 additional steps
Total training steps: 5000
Checkpoint interval: 500 steps
============================================================

step 2000/5000 (0.0%): train loss 5.2409, val loss 5.1862 | 13.9s (0.00 steps/sec)
step 4125/5000 (70.8%) | 0.33 steps/sec | ETA: 44.3m
step 4150/5000 (71.7%) | 0.33 steps/sec | ETA: 43.0m
step 4175/5000 (72.5%) | 0.33 steps/sec | ETA: 41.6m
step 4200/5000 (73.3%) | 0.33 steps/sec | ETA: 40.3m
step 4225/5000 (74.2%) | 0.33 steps/sec | ETA: 39.0m
step 4250/5000 (75.0%) | 0.33 steps/sec | ETA: 37.6m
step 4275/5000 (75.8%) | 0.33 steps/sec | ETA: 36.3m
step 4300/5000 (76.7%) | 0.33 steps/sec | ETA: 35.0m
step 4325/5000 (77.5%) | 0.33 steps/sec | ETA: 33.7m
step 4350/5000 (78.3%) | 0.34 steps/sec | ETA: 32.3m
step 4375/5000 (79.2%) | 0.34 steps/sec | ETA: 30.8m
step 4400/5000 (80.0%) | 0.34 steps/sec | ETA: 29.4m
step 4425/5000 (80.8%) | 0.34 steps/sec | ETA: 28.0m
step 4450/5000 (81.7%) | 0.34 steps/sec | ETA: 26.7m
step 4475/5000 (82.5%) | 0.34 steps/sec | ETA: 25.4m
step 4500/5000 (83.3%): train loss 4.9521, val loss 5.2627 | 7258.0s (0.34 steps/sec)
   💾 Checkpoint saved: checkpoints/checkpoint_resumed_step004500_11192025_171623.pt
step 4525/5000 (84.2%) | 0.35 steps/sec | ETA: 22.9m
step 4550/5000 (85.0%) | 0.35 steps/sec | ETA: 21.6m
step 4575/5000 (85.8%) | 0.35 steps/sec | ETA: 20.3m
step 4600/5000 (86.7%) | 0.35 steps/sec | ETA: 19.1m
step 4625/5000 (87.5%) | 0.35 steps/sec | ETA: 17.8m
step 4650/5000 (88.3%) | 0.35 steps/sec | ETA: 16.6m
step 4675/5000 (89.2%) | 0.35 steps/sec | ETA: 15.4m
step 4700/5000 (90.0%) | 0.35 steps/sec | ETA: 14.1m
step 4725/5000 (90.8%) | 0.35 steps/sec | ETA: 12.9m
step 4750/5000 (91.7%) | 0.36 steps/sec | ETA: 11.7m
step 4775/5000 (92.5%) | 0.36 steps/sec | ETA: 10.5m
step 4800/5000 (93.3%) | 0.36 steps/sec | ETA: 9.3m
step 4825/5000 (94.2%) | 0.36 steps/sec | ETA: 8.1m
step 4850/5000 (95.0%) | 0.36 steps/sec | ETA: 6.9m
step 4875/5000 (95.8%) | 0.36 steps/sec | ETA: 5.8m
step 4900/5000 (96.7%) | 0.36 steps/sec | ETA: 4.6m
step 4925/5000 (97.5%) | 0.36 steps/sec | ETA: 3.4m
step 4950/5000 (98.3%) | 0.37 steps/sec | ETA: 2.3m
step 4975/5000 (99.2%) | 0.37 steps/sec | ETA: 1.1m

============================================================
✅ Training complete!
============================================================
Steps completed: 3000
Total training time: 8167.6s (0.37 steps/sec)
Final loss: 5.0831
✅ Final checkpoint saved: checkpoints/checkpoint_resumed_step005000_11192025_173132.pt
============================================================

Generating sample text...
==================================================
. is,, you can, the with to things the have with in and they it great. know and there,- you you in " when want help I to with " of's and'd more
I the I't of that
ION I, can it you it but, " are the for of that
ION to,.'s as they, you the people you
 your to that this., also the are in things get to to you It the is need you to what
ION your are are the so to -- you be you be this or you you.
I my so need you not what do I?
ION not I don feel need do
ION do do, that I not to
ION to the you for't is do It
ION I and all have to you don not them Or you this me or to of you the have that
ION'm --'m,, want are --.?'re you to at them
ION, do care What do? have ask
ION need you them
ION you you have a of take, you it to of if's you it for, is a thing it so your to.
ANS: do the of's a.'s
ION, are need do
ION, not.'m. in to lot't you,'m,. it too --- is on course to., you have not out all, them, all you.'s time make right that's, to. your
==================================================
